,Symbol,Price,Company Name,Industry,Sector,Country,Recommendation,risk_level
63,CVS,67.1500015258789,CVS Health Corporation,Healthcare Plans,Healthcare,United States,Sell,Low
64,F,12.59000015258789,Ford Motor Company,Auto Manufacturers,Consumer Cyclical,United States,Buy,Medium
65,TGT,133.83999633789062,Target Corporation,Discount Stores,Consumer Defensive,United States,Sell,Low
66,COP,101.1999969482422,ConocoPhillips,Oil & Gas E&P,Energy,United States,Sell,High
67,MET,51.650001525878906,"MetLife, Inc.",Insurance—Life,Financial Services,United States,Sell,Medium
68,DHR,227.17999267578125,Danaher Corporation,Diagnostics & Research,Healthcare,United States,Sell,Low
69,MDLZ,72.37000274658203,"Mondelez International, Inc.",Confectioners,Consumer Defensive,United States,Sell,Low
70,LLY,427.239990234375,Eli Lilly and Company,Drug Manufacturers—General,Healthcare,United States,Buy,Low
71,TMO,514.219970703125,Thermo Fisher Scientific Inc.,Diagnostics & Research,Healthcare,United States,Sell,Low
72,GM,33.36000061035156,General Motors Company,Auto Manufacturers,Consumer Cyclical,United States,Buy,High
73,DUK,88.01000213623047,Duke Energy Corporation,Utilities—Regulated Electric,Utilities,United States,Sell,Low
74,SO,69.83000183105469,The Southern Company,Utilities—Regulated Electric,Utilities,United States,Buy,Low
75,AEP,81.79000091552734,"American Electric Power Company, Inc.",Utilities—Regulated Electric,Utilities,United States,Sell,Low
76,RTX,92.81999969482422,Raytheon Technologies Corporation,Aerospace & Defense,Industrials,United States,Sell,Medium
77,GILD,76.33000183105469,"Gilead Sciences, Inc.",Drug Manufacturers—General,Healthcare,United States,Sell,Low
78,EMR,78.38999938964844,Emerson Electric Co.,Specialty Industrial Machinery,Industrials,United States,Sell,Medium
79,ADP,210.1199951171875,"Automatic Data Processing, Inc.",Staffing & Employment Services,Industrials,United States,Sell,Low
80,NEE,72.69000244140625,"NextEra Energy, Inc.",Utilities—Regulated Electric,Utilities,United States,Sell,Low
81,ISRG,307.07000732421875,"Intuitive Surgical, Inc.",Medical Instruments & Supplies,Healthcare,United States,Buy,Low
82,VRTX,325.29998779296875,Vertex Pharmaceuticals Incorporated,Biotechnology,Healthcare,United States,Sell,Low
83,BDX,238.38999938964844,"Becton, Dickinson and Company",Medical Instruments & Supplies,Healthcare,United States,Sell,Low
84,PLD,124.30999755859376,"Prologis, Inc.",REIT—Industrial,Real Estate,United States,Sell,Low
85,BIIB,298.69000244140625,Biogen Inc.,Drug Manufacturers—General,Healthcare,United States,Buy,High
86,TMUS,135.1199951171875,"T-Mobile US, Inc.",Telecom Services,Communication Services,United States,Sell,Low
87,PGR,128.07000732421875,The Progressive Corporation,Insurance—Property & Casualty,Financial Services,United States,Sell,Low
88,CME,178.1999969482422,CME Group Inc.,Financial Data & Stock Exchanges,Financial Services,United States,Buy,Low
89,HON,194.5500030517578,Honeywell International Inc.,Conglomerates,Industrials,United States,Buy,Low
90,TJX,76.76000213623047,"The TJX Companies, Inc.",Apparel Retail,Consumer Cyclical,United States,Sell,Medium
91,MS,83.41999816894531,Morgan Stanley,Capital Markets,Financial Services,United States,Sell,Medium
